id_mutation,date_mutation,valeur_fonciere,surface,pieces,adresse,numero,code_postal,n_rows,eur_per_m2
2025-1289744,2025-10-29,160000.0,13.0,1.0,RUE CHARLOT,61.0,75003.0,1,12307.692307692309
2025-1289928,2025-10-30,370000.0,40.0,2.0,RUE NOTRE-DAME DE NAZARETH,66.0,75003.0,1,9250.0
2025-1289717,2025-10-30,180000.0,24.0,1.0,RUE DE BEAUCE,14.0,75003.0,1,7500.0
2025-1289733,2025-10-30,400000.0,28.0,2.0,RUE DE POITOU,37.0,75003.0,1,14285.714285714286
2025-1289924,2025-10-30,180000.0,18.0,1.0,RUE DU PERCHE,12.0,75003.0,1,10000.0
2025-1289205,2025-10-31,588050.0,49.0,2.0,RUE DE BRAQUE,8.0,75003.0,1,12001.020408163266
2025-1289868,2025-11-03,530000.0,42.0,2.0,RUE PASTOURELLE,18.0,75003.0,2,12619.047619047618
2025-1290204,2025-11-05,289000.0,20.0,1.0,RUE DE LA CORDERIE,4.0,75003.0,1,14450.0
2025-1290465,2025-11-05,136500.0,11.0,2.0,RUE SAINT MARTIN,349.0,75003.0,1,12409.09090909091
2025-1290036,2025-11-07,384000.0,30.0,2.0,RUE DE BRETAGNE,41.0,75003.0,1,12800.0
2025-1289798,2025-11-12,376540.0,47.0,2.0,RUE SAINT MARTIN,151.0,75003.0,1,8011.489361702128
2025-1290090,2025-11-12,286910.0,21.0,1.0,RUE MICHEL LE COMTE,7.0,75003.0,1,13662.380952380952
2025-1291064,2025-11-12,2276000.0,114.0,4.0,RUE DES ARCHIVES,68.0,75003.0,1,19964.912280701756
2025-1290411,2025-11-14,941000.0,59.0,3.0,RUE NOTRE-DAME DE NAZARETH,55.0,75003.0,1,15949.152542372882
2025-1290461,2025-11-17,343100.0,31.0,2.0,RUE NOTRE-DAME DE NAZARETH,36.0,75003.0,1,11067.741935483871
2025-1290270,2025-11-20,320754.72,38.0,2.0,RUE SAINT CLAUDE,7.0,75003.0,1,8440.913684210525
2025-1290620,2025-11-21,620343.0,42.0,2.0,RUE QUINCAMPOIX,76.0,75003.0,1,14770.07142857143
2025-1290296,2025-11-25,550000.0,42.0,1.0,RUE DE BRETAGNE,65.0,75003.0,1,13095.238095238095
2025-1291056,2025-11-26,332055.0,27.0,1.0,RUE DU TEMPLE,167.0,75003.0,1,12298.333333333334
2025-1291045,2025-11-26,480000.0,45.0,1.0,RUE PASTOURELLE,18.0,75003.0,1,10666.666666666666
2025-1290529,2025-11-27,421100.0,36.0,2.0,RUE NOTRE-DAME DE NAZARETH,19.0,75003.0,1,11697.222222222223
2025-1291474,2025-11-28,1420100.0,91.0,4.0,RUE DU TEMPLE,78.0,75003.0,1,15605.494505494506
2025-1291176,2025-11-28,300000.0,40.0,3.0,RUE DES FONTAINES DU TEMPLE,23.0,75003.0,1,7500.0
2025-1291457,2025-11-28,240000.0,17.0,1.0,RUE DES HAUDRIETTES,6.0,75003.0,1,14117.64705882353
2025-1290469,2025-11-28,301000.0,28.0,2.0,RUE CHARLOT,33.0,75003.0,1,10750.0
2025-1290858,2025-12-01,660000.0,52.0,2.0,RUE CHAPON,48.0,75003.0,1,12692.307692307691
2025-1291294,2025-12-01,1142000.0,75.0,3.0,RUE DE TURENNE,85.0,75003.0,1,15226.666666666666
2025-1291084,2025-12-02,745000.0,72.0,3.0,RUE DES GRAVILLIERS,30.0,75003.0,1,10347.222222222223
2025-1290707,2025-12-02,230000.0,27.0,1.0,RUE DES FONTAINES DU TEMPLE,21.0,75003.0,1,8518.518518518518
2025-1291248,2025-12-02,1510000.0,85.0,3.0,RUE DE TURENNE,65.0,75003.0,1,17764.70588235294
2025-1290572,2025-12-03,215000.0,42.0,2.0,RUE DES VERTUS,15.0,75003.0,1,5119.047619047619
2025-1291436,2025-12-04,1187380.0,63.0,2.0,RUE VOLTA,41.0,75003.0,1,18847.301587301587
2025-1291915,2025-12-05,80000.0,15.0,1.0,RUE AU MAIRE,12.0,75003.0,1,5333.333333333333
2025-1291879,2025-12-05,362210.0,31.0,2.0,RUE CHAPON,48.0,75003.0,1,11684.193548387097
2025-1291140,2025-12-08,392000.0,30.0,1.0,RUE CHARLES-FRANCOIS DUPUIS,4.0,75003.0,1,13066.666666666666
2025-1291054,2025-12-08,865000.0,70.0,4.0,RUE BERANGER,13.0,75003.0,1,12357.142857142857
2025-1292322,2025-12-09,155000.0,14.0,1.0,RUE MESLAY,15.0,75003.0,1,11071.42857142857
2025-1291579,2025-12-09,160000.0,14.0,1.0,RUE DES GRAVILLIERS,43.0,75003.0,1,11428.57142857143
2025-1291034,2025-12-10,259265.0,18.0,1.0,RUE CHARLOT,6.0,75003.0,1,14403.611111111111
2025-1291495,2025-12-10,1745600.0,165.0,4.0,RUE DU TEMPLE,72.0,75003.0,1,10579.39393939394
2025-1291663,2025-12-12,213000.0,18.0,2.0,RUE NOTRE-DAME DE NAZARETH,46.0,75003.0,1,11833.333333333334
2025-1291724,2025-12-12,665520.0,63.0,2.0,RUE DES FONTAINES DU TEMPLE,11.0,75003.0,1,10563.809523809523
2025-1291888,2025-12-12,290000.0,20.0,1.0,RUE PASTOURELLE,18.0,75003.0,1,14500.0
2025-1291144,2025-12-12,705000.0,55.0,3.0,RUE CHARLOT,6.0,75003.0,1,12818.181818181818
2025-1291580,2025-12-12,159800.0,22.0,1.0,RUE AU MAIRE,23.0,75003.0,1,7263.636363636364
2025-1292510,2025-12-15,1540217.0,118.0,5.0,RUE SAINTE APOLLINE,9.0,75003.0,1,13052.686440677966
2025-1292612,2025-12-15,453000.0,49.0,2.0,BD SAINT MARTIN,29.0,75003.0,1,9244.897959183674
2025-1291949,2025-12-17,340000.0,28.0,1.0,RUE DE SAINTONGE,3.0,75003.0,1,12142.857142857143
2025-1291529,2025-12-17,410200.0,36.0,1.0,RUE DES ARQUEBUSIERS,4.0,75003.0,1,11394.444444444445
2025-1292995,2025-12-18,175000.0,15.0,1.0,RUE AU MAIRE,23.0,75003.0,1,11666.666666666666
2025-1292038,2025-12-18,97000.0,10.0,1.0,RUE PASTOURELLE,32.0,75003.0,1,9700.0
2025-1291746,2025-12-18,479319.0,38.0,2.0,RUE DU TEMPLE,85.0,75003.0,1,12613.657894736842
2025-1292742,2025-12-19,675000.0,40.0,2.0,RUE MADAME DE SEVIGNE,38.0,75003.0,1,16875.0
2025-1292690,2025-12-29,125000.0,14.0,1.0,RUE VOLTA,45.0,75003.0,1,8928.57142857143
2025-1292797,2025-12-29,323792.0,58.0,3.0,RUE QUINCAMPOIX,75.0,75003.0,1,5582.620689655172
2025-1292922,2025-12-29,560550.0,43.0,2.0,RUE DES VERTUS,16.0,75003.0,1,13036.046511627907
2025-1292248,2025-12-30,410000.0,51.0,2.0,RUE CHARLOT,54.0,75003.0,1,8039.21568627451
2025-1292933,2025-12-30,752325.0,69.0,3.0,RUE DES TOURNELLES,72.0,75003.0,1,10903.260869565218
